"Space Name","Location Name","Record Date","Day Of Week","Day of Month","Month","Max. Occupancy","Min. Occupancy","Avg. Occupancy","Ins","Outs"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-01 00:00:00","7 - Saturday","1","1 -  January","0","0","0","0","0"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-02 00:00:00","1 - Sunday","2","1 -  January","109","4","61.980555555555554","471","451"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-03 00:00:00","2 - Monday","3","1 -  January","89","4","50.17777777777778","717","711"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-04 00:00:00","3 - Tuesday","4","1 -  January","121","7","64.04027777777777","780","766"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-05 00:00:00","4 - Wednesday","5","1 -  January","83","0","52.30833333333333","624","624"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-06 00:00:00","5 - Thursday","6","1 -  January","74","1","43.56666666666667","625","624"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-07 00:00:00","6 - Friday","7","1 -  January","81","3","47.992592592592594","526","518"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-08 00:00:00","7 - Saturday","8","1 -  January","108","0","63.318518518518516","753","737"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-09 00:00:00","1 - Sunday","9","1 -  January","151","6","99.96944444444445","660","652"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-10 00:00:00","2 - Monday","10","1 -  January","125","3","66.81388888888888","736","733"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-11 00:00:00","3 - Tuesday","11","1 -  January","114","0","67.11111111111111","802","799"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-12 00:00:00","4 - Wednesday","12","1 -  January","122","4","71.0513888888889","800","794"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-13 00:00:00","5 - Thursday","13","1 -  January","105","5","64.8","738","733"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-14 00:00:00","6 - Friday","14","1 -  January","108","0","60.898148148148145","687","689"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-15 00:00:00","7 - Saturday","15","1 -  January","138","0","80.15555555555555","820","795"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-16 00:00:00","1 - Sunday","16","1 -  January","150","8","107.27222222222223","671","656"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-17 00:00:00","2 - Monday","17","1 -  January","153","3","81.9375","873","855"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-18 00:00:00","3 - Tuesday","18","1 -  January","154","6","86.8861111111111","929","917"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-19 00:00:00","4 - Wednesday","19","1 -  January","139","0","76.37083333333334","902","905"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-20 00:00:00","5 - Thursday","20","1 -  January","121","1","78.36527777777778","824","822"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-21 00:00:00","6 - Friday","21","1 -  January","120","0","67.75740740740741","702","688"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-22 00:00:00","7 - Saturday","22","1 -  January","177","0","103.81851851851852","891","863"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-23 00:00:00","1 - Sunday","23","1 -  January","180","11","119.45277777777778","586","574"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-24 00:00:00","2 - Monday","24","1 -  January","99","1","57.415277777777774","531","518"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-25 00:00:00","3 - Tuesday","25","1 -  January","171","3","83.37361111111112","889","886"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-26 00:00:00","4 - Wednesday","26","1 -  January","166","1","99.24305555555556","939","930"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-27 00:00:00","5 - Thursday","27","1 -  January","132","1","85.14305555555555","829","814"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-28 00:00:00","6 - Friday","28","1 -  January","107","6","64.7462962962963","686","680"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-29 00:00:00","7 - Saturday","29","1 -  January","119","0","77.78888888888889","794","785"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-30 00:00:00","1 - Sunday","30","1 -  January","117","6","87.50833333333334","564","556"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-01-31 00:00:00","2 - Monday","31","1 -  January","100","0","58.425","726","727"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-01 00:00:00","3 - Tuesday","1","2 -  February","108","4","62.673611111111114","994","988"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-02 00:00:00","4 - Wednesday","2","2 -  February","29","6","11.870833333333334","121","115"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-03 00:00:00","5 - Thursday","3","2 -  February","53","0","23.22361111111111","279","282"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-04 00:00:00","6 - Friday","4","2 -  February","103","1","56.94074074074074","596","579"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-05 00:00:00","7 - Saturday","5","2 -  February","134","0","79.75925925925925","808","767"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-06 00:00:00","1 - Sunday","6","2 -  February","166","19","110.39166666666667","664","634"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-07 00:00:00","2 - Monday","7","2 -  February","124","5","74.88055555555556","814","805"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-08 00:00:00","3 - Tuesday","8","2 -  February","126","5","70.81527777777778","841","826"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-09 00:00:00","4 - Wednesday","9","2 -  February","116","5","62.44583333333333","831","826"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-10 00:00:00","5 - Thursday","10","2 -  February","126","0","69.44027777777778","735","731"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-11 00:00:00","6 - Friday","11","2 -  February","95","3","58.55555555555556","572","563"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-12 00:00:00","7 - Saturday","12","2 -  February","127","1","71.28888888888889","771","770"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-13 00:00:00","1 - Sunday","13","2 -  February","139","5","78.46388888888889","540","535"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-14 00:00:00","2 - Monday","14","2 -  February","98","6","61.86805555555556","712","706"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-15 00:00:00","3 - Tuesday","15","2 -  February","134","6","77.84722222222223","801","777"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-16 00:00:00","4 - Wednesday","16","2 -  February","124","0","64.28333333333333","826","831"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-17 00:00:00","5 - Thursday","17","2 -  February","72","5","31.769444444444446","399","394"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-18 00:00:00","6 - Friday","18","2 -  February","91","0","41.03333333333333","503","490"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-19 00:00:00","7 - Saturday","19","2 -  February","173","0","90.91481481481482","862","824"
